ID	TYPE	NAME	???	DESCRIPTION
PA4425	CDS			phosphoheptose isomerase
PA4426	CDS			hypothetical protein
PA4427	CDS	sspB		ClpXP protease specificity-enhancing factor
PA4428	CDS	sspA		stringent starvation protein A
PA4429	CDS			cytochrome C1
PA4430	CDS			cytochrome b
PA4431	CDS			iron-sulfur protein
PA4432	CDS	rpsI		30S ribosomal protein S9
PA4433	CDS	rplM		50S ribosomal protein L13
PA4434	CDS			oxidoreductase
PA4435	CDS			acyl-CoA dehydrogenase
PA4436	CDS			transcriptional regulator
PA4437	CDS			hypothetical protein
PA4438	CDS			hypothetical protein
PA4439	CDS	trpS	6.1.1.2	tryptophan--tRNA ligase
PA4440	CDS			hypothetical protein
PA4441	CDS			hypothetical protein
PA4442	CDS	cysN	2.7.1.25	bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase
PA4443	CDS	cysD	2.7.7.4	sulfate adenylyltransferase subunit 2
PA4444	CDS	mltB1		murein hydrolase B
PA4445	CDS			hypothetical protein
PA4446	CDS	algW		AlgW protein
PA4447	CDS	hisC1	2.6.1.9	histidinol-phosphate aminotransferase
PA4448	CDS	hisD	1.1.1.23	histidinol dehydrogenase
PA4449	CDS	hisG	2.4.2.17	ATP phosphoribosyltransferase
PA4450	CDS	murA	2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
PA4451	CDS			hypothetical protein
PA4452	CDS			hypothetical protein
PA4453	CDS			hypothetical protein
PA4454	CDS			hypothetical protein
PA4455	CDS			ABC transporter permease
PA4456	CDS			ABC transporter ATP-binding protein
PA4457	CDS			arabinose-5-phosphate isomerase KdsD
PA4458	CDS			hypothetical protein
PA4459	CDS			hypothetical protein
PA4460	CDS			hypothetical protein
PA4461	CDS			ABC transporter ATP-binding protein
PA4462	CDS	rpoN	2.7.7.6	RNA polymerase factor sigma-54
PA4463	CDS			hypothetical protein
PA4464	CDS	ptsN		nitrogen regulatory IIA protein
PA4465	CDS			hypothetical protein
PA4466	CDS			phosphoryl carrier protein
PA4467	CDS			hypothetical protein
PA4468	CDS	sodM		superoxide dismutase
PA4469	CDS			hypothetical protein
PA4470	CDS	fumC1	4.2.1.2	fumarate hydratase
PA4471	CDS			hypothetical protein
PA4472	CDS	pmbA		PmbA protein
PA4473	CDS			hypothetical protein
PA4474	CDS			hypothetical protein
PA4475	CDS			hypothetical protein
PA4476	CDS			hypothetical protein
PA4477	CDS	cafA		cytoplasmic axial filament protein
PA4478	CDS			hypothetical protein
PA4479	CDS	mreD		rod shape-determining protein MreD
PA4480	CDS	mreC		rod shape-determining protein MreC
PA4481	CDS	mreB		rod shape-determining protein MreB
PA4482	CDS	gatC	6.3.5.-	aspartyl/glutamyl-tRNA amidotransferase subunit C
PA4483	CDS	gatA	6.3.5.-	aspartyl/glutamyl-tRNA amidotransferase subunit A
PA4484	CDS	gatB	6.3.5.-	aspartyl/glutamyl-tRNA amidotransferase subunit B
PA4485	CDS			hypothetical protein
PA4486	CDS			hypothetical protein
PA4487	CDS			hypothetical protein
PA4488	CDS			hypothetical protein
PA4489	CDS			hypothetical protein
PA4490	CDS			hypothetical protein
PA4491	CDS			hypothetical protein
PA4492	CDS			hypothetical protein
PA4493	CDS	roxR		DNA-binding response regulator RoxR
PA4494	CDS	roxS		sensor histidine kinase RoxS
PA4495	CDS			hypothetical protein
PA4496	CDS			ABC transporter
PA4497	CDS			ABC transporter
PA4498	CDS			metallopeptidase
PA4499	CDS			transcriptional regulator
PA4500	CDS			ABC transporter
PA4501	CDS	opdP		glycine-glutamate dipeptide porin OpdP
PA4502	CDS			ABC transporter
PA4503	CDS			ABC transporter permease
PA4504	CDS			ABC transporter permease
PA4505	CDS			ABC transporter ATP-binding protein
PA4506	CDS			peptide ABC transporter ATP-binding protein
PA4507	CDS			hypothetical protein
PA4508	CDS			transcriptional regulator
PA4509	CDS			hypothetical protein
PA4510	CDS			hypothetical protein
PA4511	CDS			hypothetical protein
PA4512	CDS	lpxO1		lipopolysaccharide biosynthetic protein LpxO
PA4513	CDS			oxidoreductase
PA4514	CDS			iron transport outer membrane receptor
PA4515	CDS			hydroxylase
PA4516	CDS			hypothetical protein
PA4517	CDS			hypothetical protein
PA4518	CDS			hypothetical protein
PA4519	CDS	speC		ornithine decarboxylase
PA4520	CDS			chemotaxis transducer
PA4521	CDS			hypothetical protein
PA4522	CDS	ampD		N-acetyl-anhydromuranmyl-L-alanine amidase
PA4523	CDS			hypothetical protein
PA4524	CDS	nadC	2.4.2.19	nicotinate-nucleotide pyrophosphorylase
PA4524.1	tRNA			tRNA-Thr
PA4525	CDS	pilA		type 4 fimbrial protein PilA
PA4526	CDS	pilB		type 4 fimbrial biogenesis protein PilB
PA4528	CDS	pilD		type 4 prepilin peptidase PilD
PA4529	CDS	coaE	2.7.1.24	dephospho-CoA kinase
PA4530	CDS			zinc-binding protein
PA4531	CDS			hypothetical protein
PA4532	CDS			hypothetical protein
PA4533	CDS			hypothetical protein
PA4534	CDS			hypothetical protein
PA4535	CDS			hypothetical protein
PA4536	CDS			hypothetical protein
PA4537	CDS			hypothetical protein
PA4538	CDS	ndh		NADH dehydrogenase
PA4539	CDS			hypothetical protein
PA4540	CDS			hypothetical protein
PA4541	CDS			hypothetical protein
PA4541.1	tRNA			tRNA-Lys
PA4541.2	tRNA			tRNA-Pro
PA4541.3	tRNA			tRNA-Asn
PA4542	CDS	clpB		chaperone protein ClpB
PA4543	CDS			hypothetical protein
PA4544	CDS	rluD		pseudouridine synthase
PA4545	CDS	comL		competence protein ComL
PA4546	CDS	pilS		two-component sensor PilS
PA4547	CDS	pilR		two-component response regulator PilR
PA4548	CDS			D-amino acid oxidase
PA4549	CDS	fimT		type 4 fimbrial biogenesis protein FimT
PA4550	CDS	fimU		type 4 fimbrial biogenesis protein FimU
PA4551	CDS	pilV		type 4 fimbrial biogenesis protein PilV
PA4552	CDS	pilW		type 4 fimbrial biogenesis protein PilW
PA4553	CDS	pilX		type 4 fimbrial biogenesis protein PilX
PA4554	CDS	pilY1		type 4 fimbrial biogenesis protein PilY1
PA4555	CDS	pilY2		type 4 fimbrial biogenesis protein PilY2
PA4556	CDS	pilE		type 4 fimbrial biogenesis protein PilE
PA4557	CDS	lytB	1.17.7.4	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PA4558	CDS			FkbP-type peptidyl-prolyl cis-trans isomerase
PA4559	CDS	lspA	3.4.23.36	lipoprotein signal peptidase
PA4560	CDS	ileS	6.1.1.5	isoleucine--tRNA ligase
PA4561	CDS	ribF	2.7.1.26	bifunctional riboflavin kinase/FMN adenylyltransferase
PA4562	CDS			hypothetical protein
PA4563	CDS	rpsT		30S ribosomal protein S20
PA4564	CDS			hypothetical protein
PA4565	CDS	proB	2.7.2.11	gamma-glutamyl kinase
PA4566	CDS	obg		GTPase ObgE
PA4567	CDS	rpmA		50S ribosomal protein L27
PA4568	CDS	rplU		50S ribosomal protein L21
PA4569	CDS	ispB		octaprenyl-diphosphate synthase
PA4570	CDS			hypothetical protein
PA4571	CDS			cytochrome C
PA4572	CDS	fklB		peptidyl-prolyl cis-trans isomerase FklB
PA4573	CDS			hypothetical protein
PA4574	CDS			hypothetical protein
PA4575	CDS			hypothetical protein
PA4576	CDS			ATP-dependent protease
PA4577	CDS			hypothetical protein
PA4578	CDS			hypothetical protein
PA4579	CDS			hypothetical protein
PA4580	CDS			hypothetical protein
PA4581	CDS	rtcR		transcriptional regulator RtcR
PA4581.1	tRNA			tRNA-Arg
PA4582	CDS			hypothetical protein
PA4583	CDS			hypothetical protein
PA4584	CDS			hypothetical protein
PA4585	CDS	rtcA	6.5.1.4	RNA 3'-terminal-phosphate cyclase
PA4586	CDS			hypothetical protein
PA4587	CDS	ccpR		cytochrome C551 peroxidase
PA4588	CDS	gdhA	1.4.1.4	glutamate dehydrogenase
PA4589	CDS			hypothetical protein
PA4590	CDS	pra		protein activator
PA4591	CDS			hypothetical protein
PA4592	CDS			hypothetical protein
PA4593	CDS			ABC transporter permease
PA4594	CDS			ABC transporter ATP-binding protein
PA4595	CDS			ABC transporter ATP-binding protein
PA4596	CDS			transcriptional regulator
PA4597	CDS	oprJ		multidrug efflux outer membrane protein OprJ
PA4598	CDS	mexD		resistance-nodulation-cell division (RND) multidrug efflux transporter MexD
PA4599	CDS	mexC		resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexC
PA4600	CDS	nfxB		transcriptional regulator NfxB
PA4601	CDS	morA		motility regulator
PA4602	CDS	glyA3	2.1.2.1	serine hydroxymethyltransferase
PA4603	CDS			hypothetical protein
PA4604	CDS			hypothetical protein
PA4605	CDS			hypothetical protein
PA4606	CDS			hypothetical protein
PA4607	CDS			hypothetical protein
PA4608	CDS			hypothetical protein
PA4609	CDS	radA		DNA repair protein RadA
PA4610	CDS			hypothetical protein
PA4611	CDS			hypothetical protein
PA4612	CDS			hypothetical protein
PA4613	CDS	katB		catalase
PA4614	CDS	mscL		large-conductance mechanosensitive channel
PA4615	CDS			oxidoreductase
PA4616	CDS			C4-dicarboxylate-binding protein
PA4617	CDS			hypothetical protein
PA4618	CDS			hypothetical protein
PA4619	CDS			cytochrome C
PA4620	CDS			hypothetical protein
PA4621	CDS			oxidoreductase
PA4622	CDS			major facilitator superfamily transporter
PA4623	CDS			hypothetical protein
PA4624	CDS			hypothetical protein
PA4625	CDS			hypothetical protein
PA4626	CDS	hprA	1.1.1.29	glycerate dehydrogenase
PA4627	CDS			16S rRNA methyltransferase
PA4628	CDS	lysP		lysine-specific permease
PA4629	CDS			hypothetical protein
PA4630	CDS			hypothetical protein
PA4631	CDS			hypothetical protein
PA4632	CDS			hypothetical protein
PA4633	CDS			chemotaxis transducer
PA4634	CDS			hypothetical protein
PA4635	CDS			hypothetical protein
PA4635a	CDS			hypothetical protein
PA4636a	CDS			hypothetical protein
PA4636	CDS			hypothetical protein
PA4637	CDS			hypothetical protein
PA4637a	CDS			hypothetical protein
PA4639	CDS			hypothetical protein
PA4640	CDS	mqoB	1.1.5.4	malate:quinone oxidoreductase
PA4642	CDS			hypothetical protein
PA4643	CDS			hypothetical protein
PA4644	CDS			hypothetical protein
PA4645	CDS		2.4.2.8	hypoxanthine-guanine phosphoribosyltransferase
PA4646	CDS	upp	2.4.2.9	uracil phosphoribosyltransferase
PA4647	CDS	uraA		uracil permease
PA4648	CDS			hypothetical protein
PA4649	CDS			hypothetical protein
PA4650	CDS			hypothetical protein
PA4651	CDS			pili assembly chaperone
PA4652	CDS			hypothetical protein
PA4653	CDS			hypothetical protein
PA4654	CDS			major facilitator superfamily transporter
PA4655	CDS	hemH	4.99.1.1	ferrochelatase
PA4656	CDS			hypothetical protein
PA4657	CDS			hypothetical protein
PA4658	CDS			hypothetical protein
PA4659	CDS			transcriptional regulator
PA4660	CDS	phr		deoxyribodipyrimidine photolyase
PA4661	CDS	pagL		lipid A 3-O-deacylase
PA4662	CDS	murI	5.1.1.3	glutamate racemase
PA4663	CDS	moeB		molybdopterin biosynthesis protein MoeB
PA4664	CDS	hemK	2.1.1.-	methyl transferase
PA4665	CDS	prfA		peptide chain release factor 1
PA4666	CDS	hemA	1.2.1.70	glutamyl-tRNA reductase
PA4667	CDS			hypothetical protein
PA4668	CDS			molecular chaperone LolB
PA4669	CDS	ipk	2.7.1.148	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
PA4669.1	tRNA			tRNA-Gln
PA4670	CDS	prs	2.7.6.1	ribose-phosphate pyrophosphokinase
PA4671	CDS			50S ribosomal protein L25/general stress protein Ctc
PA4672	CDS		3.1.1.29	peptidyl-tRNA hydrolase
PA4673	CDS			GTP-dependent nucleic acid-binding protein EngD
PA4673.1	tRNA			tRNA-Met
PA4674	CDS			hypothetical protein
PA4675	CDS			TonB-dependent receptor
PA4676	CDS			carbonic anhydrase
PA4677	CDS			hypothetical protein
PA4678	CDS	rimI		peptide n-acetyltransferase RimI
PA4679	CDS			hypothetical protein
PA4680	CDS			hypothetical protein
PA4681	CDS			hypothetical protein
PA4682	CDS			hypothetical protein
PA4683	CDS			hypothetical protein
PA4684	CDS			hypothetical protein
PA4685	CDS			hypothetical protein
PA4686	CDS			hypothetical protein
PA4687	CDS	hitA		ferric iron-binding periplasmic protein HitA
PA4688	CDS	hitB		iron (III)-transporter permease HitB
PA4689	CDS			hypothetical protein
PA4690	CDS			hypothetical protein
PA4690a	CDS			paraquat-inducible protein A
PA4690.1	rRNA			5S ribosomal RNA
PA4690.2	rRNA			23S ribosomal RNA
PA4690.3	tRNA			tRNA-Ala
PA4690.4	tRNA			tRNA-Ile
PA4690.5	rRNA			16S ribosomal RNA
PA4691	CDS			sulfite oxidase subunit YedZ
PA4692	CDS			sulfite oxidase subunit YedY
PA4693	CDS	pssA		phosphatidylserine synthase
PA4694	CDS	ilvC	1.1.1.86	ketol-acid reductoisomerase
PA4695	CDS	ilvH	2.2.1.6	acetolactate synthase small subunit
PA4696	CDS	ilvI	2.2.1.6	acetolactate synthase 3 catalytic subunit
PA4697	CDS			hypothetical protein
PA4698	CDS			hypothetical protein
PA4699	CDS			hypothetical protein
PA4700	CDS	mrcB		penicillin-binding protein 1B
PA4701	CDS			hypothetical protein
PA4702	CDS			hypothetical protein
PA4703	CDS			hypothetical protein
PA4704	CDS	cbpA		cAMP-binding protein A
PA4705	CDS			hypothetical protein
PA4706	CDS			hemin importer ATP-binding subunit
PA4707	CDS			ABC transporter permease
PA4708	CDS	phuT		heme-transporter PhuT
PA4709	CDS			hemin degrading factor
PA4710	CDS	phuR		heme/hemoglobin uptake outer membrane receptor PhuR
PA4711	CDS			hypothetical protein
PA4712	CDS			hypothetical protein
PA4713	CDS			hypothetical protein
PA4714	CDS			hypothetical protein
PA4715	CDS			aminotransferase
PA4716	CDS			hypothetical protein
PA4717	CDS			hypothetical protein
PA4718	CDS			hypothetical protein
PA4719	CDS			transporter
PA4720	CDS	trmA	2.1.1.35	tRNA (uracil-5-)-methyltransferase
PA4721	CDS			sugar fermentation stimulation protein A
PA4722	CDS			hypothetical protein
PA4723	CDS	dksA		suppressor protein DksA
PA4724	CDS			glutamyl-Q tRNA(Asp) synthetase
PA4724.1	CDS			hypothetical protein
PA4725	CDS	cbrA		two-component sensor CbrA
PA4726	CDS	cbrB		two-component response regulator CbrB
PA4727	CDS	pcnB		poly(A) polymerase
PA4728	CDS	folK		2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
PA4729	CDS	panB	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
PA4730	CDS	panC	6.3.2.1	pantoate--beta-alanine ligase
PA4731	CDS	panD	4.1.1.11	aspartate alpha-decarboxylase
PA4732	CDS	pgi	5.3.1.9	glucose-6-phosphate isomerase
PA4733	CDS	acsB	6.2.1.1	acetyl-CoA synthetase
PA4734	CDS			hypothetical protein
PA4735	CDS			hypothetical protein
PA4736	CDS			hypothetical protein
PA4737	CDS			hypothetical protein
PA4738	CDS			hypothetical protein
PA4739	CDS			hypothetical protein
PA4740	CDS	pnp		polynucleotide phosphorylase
PA4741	CDS	rpsO		30S ribosomal protein S15
PA4742	CDS	truB		tRNA pseudouridine synthase B
PA4743	CDS	rbfA		ribosome-binding factor A
PA4744	CDS	infB		translation initiation factor IF-2
PA4745	CDS	nusA		transcription elongation factor NusA
PA4746	CDS			hypothetical protein
PA4746.1	tRNA			tRNA-Met
PA4746.2	tRNA			tRNA-Leu
PA4747	CDS	secG		preprotein translocase subunit SecG
PA4748	CDS	tpiA	5.3.1.1	triosephosphate isomerase
PA4749	CDS	glmM	5.4.2.10	phosphoglucosamine mutase
PA4750	CDS	folP		dihydropteroate synthase
PA4751	CDS	ftsH		cell division protein FtsH
PA4752	CDS	ftsJ		cell division protein FtsJ
PA4753	CDS			hypothetical protein
PA4754	CDS			hypothetical protein
PA4755	CDS	greA		transcription elongation factor GreA
PA4756	CDS	carB	6.3.5.5	carbamoyl phosphate synthase large subunit
PA4757	CDS			leucine export protein LeuE
PA4758	CDS	carA	6.3.5.5	carbamoyl phosphate synthase small subunit
PA4759	CDS	dapB	1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
PA4760	CDS	dnaJ		molecular chaperone DnaJ
PA4761	CDS	dnaK		molecular chaperone DnaK
PA4762	CDS	grpE		heat shock protein GrpE
PA4763	CDS	recN		DNA repair protein RecN
PA4764	CDS	fur		ferric uptake regulation protein
PA4765	CDS	omlA		outer membrane lipoprotein OmlA
PA4766	CDS			hypothetical protein
PA4767	CDS			hypothetical protein
PA4768	CDS	smpB		SsrA-binding protein
PA4769	CDS			transcriptional regulator
PA4770	CDS	lldP		L-lactate permease
PA4771	CDS	lldD	1.1.2.3	L-lactate dehydrogenase
PA4772	CDS			ferredoxin
PA4773	CDS			hypothetical protein
PA4774	CDS			hypothetical protein
PA4775	CDS			hypothetical protein
PA4776	CDS	pmrA		two-component regulator system response regulator PmrA
PA4777	CDS	pmrB		two-component regulator system signal sensor kinase PmrB
PA4778	CDS	cueR		protein CueR
PA4779	CDS			hypothetical protein
PA4780	CDS			hypothetical protein
PA4781	CDS			cyclic di-GMP phosphodiesterase
PA4782	CDS			hypothetical protein
PA4783	CDS			hypothetical protein
PA4784	CDS			transcriptional regulator
PA4785	CDS		2.3.1.9	acetyl-CoA acetyltransferase
PA4786	CDS		1.1.1.100	3-ketoacyl-ACP reductase
PA4787	CDS			transcriptional regulator
PA4788	CDS			hypothetical protein
PA4789	CDS			hypothetical protein
PA4790	CDS			hypothetical protein
PA4791	CDS			hypothetical protein
PA4792	CDS			hypothetical protein
PA4793	CDS			hypothetical protein
PA4794	CDS			hypothetical protein
PA4795	CDS			hypothetical protein
PA4796	CDS			hypothetical protein
PA4797	CDS			transposase
PA4798	CDS			hypothetical protein
PA4799	CDS			hypothetical protein
PA4800	CDS			hypothetical protein
PA4801	CDS			hypothetical protein
PA4802	CDS			hypothetical protein
PA4802.1	tRNA			tRNA-Sec
PA4803	CDS			hypothetical protein
PA4804	CDS			amino acid permease
PA4805	CDS			hypothetical protein
PA4806	CDS			transcriptional regulator
PA4807	CDS	selB		selenocysteine-specific elongation factor
PA4808	CDS	selA	2.9.1.1	selenocysteine synthase
PA4809	CDS	fdhE		formate dehydrogenase subunit epsilon
PA4810	CDS	fdnI		nitrate-inducible formate dehydrogenase subunit gamma
PA4811	CDS	fdnH		nitrate-inducible formate dehydrogenase subunit beta
PA4812	CDS	fdnG		formate dehydrogenase-O major subunit
PA4813	CDS	lipC		lipase LipC
PA4814	CDS	fadH2		2,4-dienoyl-CoA reductase
PA4815	CDS			hypothetical protein
PA4816	CDS			hypothetical protein
PA4817	CDS			hypothetical protein
PA4818	CDS			hypothetical protein
PA4819	CDS			glycosyl transferase family protein
PA4820	CDS			hypothetical protein
PA4821	CDS			transporter
PA4822	CDS			hypothetical protein
PA4823	CDS			hypothetical protein
PA4824	CDS			hypothetical protein
PA4825	CDS	mgtA		Mg(2+) transport ATPase
PA4826	CDS			hypothetical protein
PA4827	CDS			arylamine N-acetyltransferase
PA4828	CDS			hypothetical protein
PA4829	CDS	lpd3	1.8.1.4	dihydrolipoamide dehydrogenase
PA4830	CDS			hypothetical protein
PA4831	CDS			transcriptional regulator
PA4832	CDS			short-chain dehydrogenase
PA4833	CDS			hypothetical protein
PA4834	CDS			hypothetical protein
PA4835	CDS			hypothetical protein
PA4836	CDS			hypothetical protein
PA4837	CDS			hypothetical protein
PA4838	CDS			hypothetical protein
PA4839	CDS	speA	4.1.1.19	arginine decarboxylase
PA4840	CDS			translation initiation factor Sui1
PA4841	CDS			hypothetical protein
PA4842	CDS			hypothetical protein
PA4843	CDS			two-component response regulator
PA4844	CDS			chemotaxis transducer
PA4845	CDS	dipZ	1.8.1.8	thiol:disulfide interchange protein
PA4846	CDS	aroQ1	4.2.1.10	3-dehydroquinate dehydratase
PA4847	CDS	accB	6.4.1.2	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
PA4848	CDS	accC	6.4.1.2	acetyl-CoA carboxylase biotin carboxylase subunit
PA4849	CDS			hypothetical protein
PA4850	CDS	prmA	2.1.1.-	50S ribosomal protein L11 methyltransferase
PA4851	CDS			hypothetical protein
PA4852	CDS			hypothetical protein
PA4853	CDS	fis		Fis family transcriptional regulator
PA4854	CDS	purH	2.1.2.3	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
PA4855	CDS	purD	6.3.4.13	phosphoribosylamine--glycine ligase
PA4856	CDS	retS		sensor histidine kinase MifS
PA4857	CDS			hypothetical protein
PA4858	CDS			hypothetical protein
PA4859	CDS			ABC transporter permease
PA4860	CDS			ABC transporter permease
PA4861	CDS			ABC transporter ATP-binding protein
PA4862	CDS			ABC transporter ATP-binding protein
PA4863	CDS			hypothetical protein
PA4864	CDS	ureD		urease accessory protein
PA4865	CDS	ureA	3.5.1.5	urease subunit gamma
PA4866	CDS			hypothetical protein
PA4867	CDS	ureB	3.5.1.5	urease subunit beta
PA4868	CDS	ureC	3.5.1.5	urease subunit alpha
PA4869	CDS			hypothetical protein
PA4870	CDS			hypothetical protein
PA4871	CDS			hypothetical protein
PA4872	CDS			hypothetical protein
PA4873	CDS			heat-shock protein
PA4874	CDS			hypothetical protein
PA4876	CDS	osmE		OsmE family transcriptional regulator
PA4877	CDS			hypothetical protein
PA4878	CDS			transcriptional regulator
PA4879	CDS			hypothetical protein
PA4880	CDS			bacterioferritin
PA4881	CDS			hypothetical protein
PA4882	CDS			hypothetical protein
PA4883	CDS			hypothetical protein
PA4884	CDS			hypothetical protein
PA4885	CDS	irlR		two-component response regulator
PA4886	CDS			two-component sensor
PA4887	CDS			major facilitator superfamily transporter
PA4888	CDS	desB		acyl-CoA desaturase
PA4889	CDS			oxidoreductase
PA4890	CDS	desT		transcriptional regulator
PA4891	CDS	ureE		urease accessory protein UreE
PA4892	CDS	ureF		urease accessory protein UreF
PA4893	CDS	ureG		urease accessory protein UreG
PA4894	CDS			hypothetical protein
PA4895	CDS			transmembrane sensor
PA4896	CDS			RNA polymerase sigma factor
PA4897	CDS			hypothetical protein
PA4898	CDS	opdK		vanillate porin OpdK
PA4899	CDS			aldehyde dehydrogenase
PA4900	CDS			major facilitator superfamily transporter
PA4901	CDS	mdlC	4.1.1.7	benzoylformate decarboxylase
PA4902	CDS			transcriptional regulator
PA4903	CDS			major facilitator superfamily transporter
PA4904	CDS	vanA		vanillate O-demethylase oxygenase
PA4905	CDS	vanB		vanillate O-demethylase
PA4906	CDS			transcriptional regulator
PA4907	CDS			short-chain dehydrogenase
PA4908	CDS		4.3.1.12	ornithine cyclodeaminase
PA4909	CDS			ABC transporter ATP-binding protein
PA4910	CDS			ABC transporter ATP-binding protein
PA4911	CDS			branched-chain amino acid ABC transporter permease
PA4912	CDS			branched-chain amino acid ABC transporter
PA4913	CDS			ABC transporter
PA4914	CDS			transcriptional regulator
PA4915	CDS			chemotaxis transducer
PA4916	CDS			hypothetical protein
PA4917	CDS			hypothetical protein
PA4918	CDS			hypothetical protein
PA4919	CDS	pncB1	6.3.4.21	nicotinate phosphoribosyltransferase
PA4920	CDS	nadE	6.3.1.5	NAD synthetase
PA4921	CDS			hypothetical protein
PA4922	CDS	azu		azurin
PA4923	CDS			hypothetical protein
PA4924	CDS			hypothetical protein
PA4925	CDS			hypothetical protein
PA4926	CDS			hypothetical protein
PA4927	CDS			hypothetical protein
PA4928	CDS			hypothetical protein
PA4929	CDS			hypothetical protein
PA4930	CDS	alr		biosynthetic alanine racemase
PA4931	CDS	dnaB		replicative DNA helicase
PA4932	CDS	rplI		50S ribosomal protein L9
PA4933	CDS			hypothetical protein
PA4934	CDS	rpsR		30S ribosomal protein S18
PA4935	CDS	rpsF		30S ribosomal protein S6
PA4936	CDS			23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
PA4937	CDS	rnr		exoribonuclease R
PA4937.1	tRNA			tRNA-Leu
PA4937.2	tRNA			tRNA-Leu
PA4938	CDS	purA	6.3.4.4	adenylosuccinate synthetase
PA4939	CDS			ATP phosphoribosyltransferase
PA4940	CDS			hypothetical protein
PA4941	CDS	hflC		protease subunit HflC
PA4942	CDS	hflK		protease subunit HflK
PA4943	CDS			GTP-binding protein
PA4944	CDS	hfq		RNA-binding protein Hfq
PA4945	CDS	miaA	2.5.1.75	tRNA delta(2)-isopentenylpyrophosphate transferase
PA4946	CDS	mutL		DNA mismatch repair protein
PA4947	CDS	amiB		N-acetylmuramoyl-L-alanine amidase
PA4948	CDS			hypothetical protein
PA4949	CDS			hypothetical protein
PA4950	CDS			hypothetical protein
PA4951	CDS	orn	3.1.-.-	oligoribonuclease
PA4952	CDS			ribosome-associated GTPase
PA4953	CDS	motB		flagellar motor protein MotB
PA4954	CDS	motA		flagellar motor protein MotA
PA4955	CDS			hypothetical protein
PA4956	CDS	rhdA		thiosulfate:cyanide sulfurtransferase
PA4957	CDS	psd	4.1.1.65	phosphatidylserine decarboxylase
PA4958	CDS	fimW		cyclic-di-GMP receptor FimW
PA4959	CDS	fimX		protein FimX
PA4960	CDS			phosphoserine phosphatase
PA4961	CDS			hypothetical protein
PA4962	CDS			hypothetical protein
PA4963	CDS			hypothetical protein
PA4964	CDS	parC	5.99.1.-	DNA topoisomerase IV subunit A
PA4965	CDS			hypothetical protein
PA4966	CDS			hypothetical protein
PA4967	CDS	parE		DNA topoisomerase IV subunit B
PA4968	CDS			hypothetical protein
PA4969	CDS	cpdA		cAMP phosphodiesterase
PA4970	CDS			hypothetical protein
PA4971	CDS	aspP		adenosine diphosphate sugar pyrophosphatase
PA4972	CDS			hypothetical protein
PA4973	CDS	thiC		thiamine biosynthesis protein ThiC
PA4974	CDS			hypothetical protein
PA4975	CDS			NAD(P)H quinone oxidoreductase
PA4976	CDS	aruH		arginine:pyruvate transaminase AruH
PA4977	CDS	aruI		hypothetical protein
PA4978	CDS			hypothetical protein
PA4979	CDS			acyl-CoA dehydrogenase
PA4980	CDS			enoyl-CoA hydratase
PA4981	CDS			amino acid permease
PA4982	CDS			two-component sensor
PA4983	CDS			two-component response regulator
PA4984	CDS			transcriptional regulator
PA4985	CDS			hypothetical protein
PA4986	CDS			oxidoreductase
PA4987	CDS			transcriptional regulator
PA4988	CDS	waaA		3-deoxy-D-manno-octulosonic acid transferase
PA4989	CDS			transcriptional regulator
PA4990	CDS			SMR multidrug efflux transporter
PA4991	CDS			hypothetical protein
PA4992	CDS			hypothetical protein
PA4993	CDS			hypothetical protein
PA4994	CDS			acyl-CoA dehydrogenase
PA4995	CDS			acyl-CoA dehydrogenase
PA4996	CDS	rfaE		bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
PA4997	CDS	msbA		transporter MsbA
PA4998	CDS			hypothetical protein
PA4999	CDS	waaL		O-antigen ligase WaaL
PA5000	CDS	wapR		alpha-1,3-rhamnosyltransferase WapR
PA5001	CDS			hypothetical protein
PA5002	CDS			hypothetical protein
PA5003	CDS			hypothetical protein
PA5004	CDS			glycosyl transferase family protein
PA5005	CDS			carbamoyl transferase
PA5006	CDS			hypothetical protein
PA5007	CDS			hypothetical protein
PA5008	CDS			hypothetical protein
PA5009	CDS	waaP		lipopolysaccharide kinase WaaP
PA5010	CDS	waaG		UDP-glucose:(heptosyl) LPS alpha 1,3-glucosyltransferase WaaG
PA5011	CDS	waaC		heptosyltransferase I
PA5012	CDS	waaF		heptosyltransferase II
PA5013	CDS	ilvE	2.6.1.42	branched-chain amino acid aminotransferase
PA5014	CDS	glnE	2.7.7.42	bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase
PA5015	CDS	aceE		pyruvate dehydrogenase subunit E1
PA5016	CDS	aceF		dihydrolipoamide acetyltransferase
PA5017	CDS			hypothetical protein
